         ps       /top/SCLK                    
          delta        /top/LAT                
                           /top/SDO            
                        /top/led/i_state       
          0  +0           x   x   x    x 
       9050  +2           1   0   0    2 
       9070  +2           0   0   0    2 
       9090  +2           1   0   0    2 
       9110  +2           0   0   0    2 
       9130  +2           1   0   0    2 
       9150  +2           0   0   0    2 
       9170  +2           1   0   0    2 
       9190  +2           0   0   0    2 
       9210  +2           1   0   0    2 
       9230  +2           0   0   0    2 
       9250  +2           1   0   0    2 
       9270  +2           0   0   0    2 
       9290  +2           1   0   0    2 
       9310  +2           0   0   0    2 
       9330  +2           1   0   0    2 
       9350  +2           0   0   0    2 
       9370  +2           1   0   0    2 
       9390  +2           0   0   0    2 
       9410  +2           1   0   0    2 
       9430  +2           0   0   0    2 
       9450  +2           1   0   0    2 
       9470  +2           0   0   0    2 
       9490  +2           1   0   0    2 
       9510  +2           0   0   0    2 
       9530  +2           1   0   0    2 
       9550  +2           0   0   0    2 
       9570  +2           1   0   0    2 
       9590  +2           0   0   0    2 
       9610  +2           1   0   0    2 
       9630  +2           0   0   0    2 
       9650  +2           1   0   0    2 
       9670  +2           0   0   0    2 
       9690  +2           1   0   0    2 
       9710  +2           0   0   0    2 
       9730  +2           1   0   0    2 
       9750  +2           0   0   0    2 
       9770  +2           1   0   0    2 
       9790  +2           0   0   0    2 
       9810  +2           1   0   0    2 
       9830  +2           0   0   0    2 
       9850  +2           1   0   0    2 
       9870  +2           0   0   0    2 
       9890  +2           1   0   0    2 
       9910  +2           0   0   0    2 
       9930  +2           1   0   0    2 
       9950  +2           0   0   0    2 
       9970  +2           1   0   0    2 
       9990  +2           0   0   0    2 
      10010  +2           1   0   0    2 
      10030  +2           0   0   0    2 
      10050  +2           1   0   0    2 
      10070  +2           0   0   0    2 
      10090  +2           1   0   0    2 
      10110  +2           0   0   0    2 
      10130  +2           1   0   0    2 
      10150  +2           0   0   0    2 
      10170  +2           1   0   0    2 
      10190  +2           0   0   0    2 
      10210  +2           1   0   0    2 
      10230  +2           0   0   0    2 
      10250  +2           1   0   0    2 
      10270  +2           0   0   0    2 
      10290  +2           1   0   0    2 
      10310  +2           0   0   0    2 
      10330  +2           1   0   0    2 
      10350  +2           0   0   0    2 
      10370  +2           1   0   0    2 
      10390  +2           0   0   0    2 
      10410  +2           1   0   0    2 
      10430  +2           0   0   0    2 
      10450  +2           1   0   0    2 
      10470  +2           0   0   0    2 
      10490  +2           1   0   0    2 
      10510  +2           0   0   0    2 
      10530  +2           1   0   0    2 
      10550  +2           0   0   0    2 
      10570  +2           1   0   0    2 
      10590  +2           0   0   0    2 
      10610  +2           1   0   0    2 
      10630  +2           0   0   0    2 
      10650  +2           1   0   0    2 
      10670  +2           0   0   0    2 
      10690  +2           1   0   0    2 
      10710  +2           0   0   0    2 
      10730  +2           1   0   0    2 
      10750  +2           0   0   0    2 
      10770  +2           1   0   0    2 
      10790  +2           0   0   0    2 
      10810  +2           1   0   0    2 
      10830  +2           0   0   0    2 
      10850  +2           1   0   0    2 
      10870  +2           0   0   0    2 
      10890  +2           1   0   0    2 
      10910  +2           0   0   0    2 
      10930  +2           1   0   0    2 
      10950  +2           0   0   0    2 
      10970  +2           1   0   0    2 
      10990  +2           0   0   0    2 
      11010  +2           1   0   0    2 
      11030  +2           0   0   0    2 
      11050  +2           1   0   0    2 
      11070  +2           0   0   0    2 
      11090  +2           1   0   0    2 
      11110  +2           0   0   0    2 
      11130  +2           1   0   0    2 
      11150  +2           0   0   0    2 
      11170  +2           1   0   0    2 
      11190  +2           0   0   0    2 
      11210  +2           1   0   0    2 
      11230  +2           0   0   0    2 
      11250  +2           1   0   0    2 
      11270  +2           0   0   0    2 
      11290  +2           1   0   0    2 
      11310  +2           0   0   0    2 
      11330  +2           1   0   0    2 
      11350  +2           0   0   0    2 
      11370  +2           1   0   0    2 
      11390  +2           0   0   0    2 
      11410  +2           1   0   0    2 
      11430  +2           0   0   0    2 
      11450  +2           1   0   0    2 
      11470  +2           0   0   0    2 
      11490  +2           1   0   0    2 
      11510  +2           0   0   0    2 
      11530  +2           1   0   0    2 
      11550  +2           0   0   0    2 
      11570  +2           1   0   0    2 
      11590  +2           0   0   0    2 
      11610  +2           1   0   0    2 
      11630  +2           0   0   0    2 
      11650  +2           1   0   0    2 
      11670  +2           0   0   0    2 
      11690  +2           1   0   0    2 
      11710  +2           0   0   0    2 
      11730  +2           1   0   0    2 
      11750  +2           0   0   0    2 
      11770  +2           1   0   0    2 
      11790  +2           0   0   0    2 
      11810  +2           1   0   0    2 
      11830  +2           0   0   0    2 
      11850  +2           1   0   0    2 
      11870  +2           0   0   0    2 
      11890  +2           1   0   0    2 
      11910  +2           0   0   0    2 
      11930  +2           1   0   0    2 
      11950  +2           0   0   0    2 
      11970  +2           1   0   0    2 
      11990  +2           0   0   0    2 
      12010  +2           1   0   0    2 
      12030  +2           0   0   0    2 
      12050  +2           1   0   0    2 
      12070  +2           0   0   0    2 
      12090  +2           1   0   0    2 
      12110  +2           0   0   0    2 
      12130  +2           1   0   0    2 
      12150  +2           0   0   0    2 
      12170  +2           1   0   0    2 
      12190  +2           0   0   0    2 
      12210  +2           1   0   0    2 
      12230  +2           0   0   0    2 
      12250  +2           1   0   0    2 
      12270  +2           0   0   0    2 
      12290  +2           1   0   0    2 
      12310  +2           0   0   0    2 
      12330  +2           1   0   0    2 
      12350  +2           0   0   0    2 
      12370  +2           1   0   0    2 
      12390  +2           0   0   0    2 
      12410  +2           1   0   0    2 
      12430  +2           0   0   0    2 
      12450  +2           1   0   0    2 
      12470  +2           0   0   0    2 
      12490  +2           1   0   0    2 
      12510  +2           0   0   0    2 
      12530  +2           1   0   0    2 
      12550  +2           0   0   0    2 
      12570  +2           1   0   0    2 
      12590  +2           0   0   0    2 
      12610  +2           1   0   0    2 
      12630  +2           0   0   0    2 
      12650  +2           1   0   0    2 
      12670  +2           0   0   0    2 
      12690  +2           1   0   0    2 
      12710  +2           0   0   0    2 
      12730  +2           1   0   0    2 
